City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,72.23,overcast clouds,-23.1203,-134.9692,Pension Maro'i
2,Eyl,SO,83.23,broken clouds,7.9803,49.8164,Amiin Hotel
5,Victoria,HK,87.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
8,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
12,Tual,ID,81.55,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
15,Benidorm,ES,75.49,overcast clouds,38.5382,-0.131,Medplaya Hotel Flamingo Oasis
22,Bandarbeyla,SO,80.29,scattered clouds,9.4942,50.8122,JABIR HOTEL
24,Kapaa,US,73.72,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
26,Hellin,ES,74.98,overcast clouds,38.5106,-1.7009999999999998,Hotel-restaurante Emilio
30,Palora,EC,71.71,overcast clouds,-1.7,-77.9333,Rancho grande
31,Hithadhoo,MV,83.93,broken clouds,-0.6,73.0833,Scoop Guest House
32,Atambua,ID,71.87,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
41,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
43,Meulaboh,ID,78.91,overcast clouds,4.1363,96.1285,Kost Pria
46,Santiago Del Estero,AR,72.52,scattered clouds,-27.7951,-64.2615,Apartamentos Castelli 90
48,Jining,CN,74.91,few clouds,35.405,116.5814,Yunhe Star Hotel
49,Metro,ID,77.43,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
50,Salalah,OM,86.09,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
53,Shahr-E Kord,IR,80.37,few clouds,32.3256,50.8644,Shahrekord Tourist Hotel
54,Pasni,PK,87.13,clear sky,25.2631,63.471000000000004,Kashmiri Hotal
55,Lilongwe,MW,73.6,clear sky,-13.9669,33.7873,Spendwise furnished apartments.
59,Hovd,MN,70.0,few clouds,48.0056,91.6419,Hotel Khovd
61,Kieta,PG,76.68,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
66,Avila,ES,74.64,overcast clouds,40.5833,-5.0,El Carrascal
67,Dafeng,CN,80.87,broken clouds,23.4517,108.5881,Shenglong Hotel
68,Kuching,MY,82.62,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
71,Malazgirt,TR,71.55,clear sky,39.1427,42.5401,malazgirt otel
74,Galveston,US,84.04,broken clouds,29.3669,-94.9669,Comfort Inn & Suites Texas City
80,Arraial Do Cabo,BR,78.66,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
83,Emba,KZ,81.7,scattered clouds,48.8264,58.1442,
84,Robertsport,LR,84.02,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
90,Tura,IN,73.74,light rain,25.5198,90.2201,Hotel RIKMAN Continental
92,La Macarena,CO,82.96,broken clouds,2.1837,-73.7849,Hotel Punto Verde
95,Tomatlan,MX,84.79,broken clouds,19.9333,-105.25,Norma franco
97,Port Keats,AU,71.51,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
98,Aksu,CN,81.09,few clouds,41.1231,80.2644,Pudong Holiday Hotel
100,Boyolangu,ID,75.9,broken clouds,-8.1181,111.8935,Yos ega cv
101,Mpongwe,ZM,72.07,clear sky,-13.5091,28.155,GCMF Office & Lodge
104,Bengkulu,ID,78.21,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
110,Castro,BR,71.73,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
111,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
112,Marsa Matruh,EG,79.0,clear sky,31.3525,27.2453,Beau Site
115,Hilo,US,71.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
121,Port Hedland,AU,75.25,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
122,Saint-Philippe,RE,76.59,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
123,Mayuge,UG,73.09,overcast clouds,0.4597,33.4803,Kagolo Bar and Lodge
124,Puerto Cabezas,NI,85.96,broken clouds,14.0351,-83.3888,Cabaña Caribe
126,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
129,Sorong,ID,78.89,overcast clouds,-0.8833,131.25,waigo splash hotel
136,Harlingen,US,84.33,broken clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
143,Georgetown,MY,82.89,light rain,5.4112,100.3354,Cititel Penang
146,Bubaque,GW,78.93,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
148,Pedasi,PA,82.8,scattered clouds,7.5333,-80.0333,Selina Pedasi
152,Faanui,PF,80.26,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
153,Limanu,RO,74.53,overcast clouds,43.8,28.5333,Mellys Haus
155,Cabo San Lucas,MX,87.4,scattered clouds,22.8909,-109.9124,Tesoro Los Cabos
158,Bethel,US,76.89,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
160,Butaritari,KI,82.94,light rain,3.0707,172.7902,Isles Sunset Lodge
163,Anloga,GH,89.82,overcast clouds,5.7947,0.8973,Pin Drop Hotel
164,Atuona,PF,78.4,light rain,-9.8,-139.0333,Villa Enata
168,Damghan,IR,79.52,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
171,Dhaka,BD,85.98,broken clouds,23.7104,90.4074,Main Hostel SSMC
175,Palasa,IN,84.65,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
176,East London,ZA,72.54,clear sky,-33.0153,27.9116,Tu Casa
179,Bela Palanka,RS,73.99,overcast clouds,43.2183,22.3111,Garni Hotel Mala Moskva
180,Mapulot,PH,77.94,overcast clouds,14.0339,122.5408,Casa Jose
183,Touros,BR,86.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
184,Mahajanga,MG,80.62,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
186,Alboraya,ES,76.89,clear sky,39.5,-0.35,SH Valencia Palace
188,Sao Joao Da Barra,BR,80.69,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
189,Cavalcante,BR,85.23,clear sky,-13.7975,-47.4583,Pousada Vila dos Ipês
192,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
193,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
194,Ugoofaaru,MV,82.85,overcast clouds,5.6667,73.0,Ungoofaaru Inn
195,Komsomolskiy,UZ,84.92,scattered clouds,40.4272,71.7189,Ikathouse
196,Itambe,BR,85.23,scattered clouds,-15.245,-40.6244,Pousada San Remo
200,Jacareacanga,BR,89.91,clear sky,-6.2222,-57.7528,Casa do Ian😎
202,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
206,Hambantota,LK,82.74,broken clouds,6.1241,81.1185,Bungalow 63
207,Hami,CN,85.91,overcast clouds,42.8,93.45,Laoyutang Resort
208,Harper,LR,84.63,broken clouds,4.375,-7.7169,Screensaver
210,Moultonborough,US,74.19,scattered clouds,43.7548,-71.3967,Olde Orchard Farm
211,Kahului,US,76.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
213,Takoradi,GH,85.68,overcast clouds,4.8845,-1.7554,Raybow International Hotel
221,Gonbad-E Qabus,IR,77.95,scattered clouds,37.25,55.1672,Samin Building
222,Kavieng,PG,82.47,light rain,-2.5744,150.7967,Nusa Island Retreat
226,Maragogi,BR,81.19,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
227,Atasu,KZ,73.9,broken clouds,48.6814,71.6433,Dostyk
228,Gondanglegi,ID,76.3,overcast clouds,-7.7479,112.0132,Gg. Munasir Homestay
231,Samarai,PG,78.21,overcast clouds,-10.6167,150.6667,Nuli Sapi
243,Horadiz,AZ,75.97,clear sky,39.4488,47.3353,Horadiz Olympic Center
244,Drahovo,UA,73.02,clear sky,48.2357,23.5491,
246,Mandera,KE,87.51,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
251,Sao Sebastiao,BR,76.15,scattered clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
252,Callaguip,PH,84.65,broken clouds,18.0714,120.4867,Pangil Beach Resort
253,Hirara,JP,82.56,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
262,Mwinilunga,ZM,73.49,clear sky,-11.7358,24.4293,Kwakuwahi Lodge
264,Sebastian,US,76.21,overcast clouds,35.1668,-94.2669,
265,Kalmunai,LK,83.32,scattered clouds,7.4167,81.8167,VS Villa
266,Nokaneng,BW,78.42,clear sky,-19.6667,22.2667,
267,Fare,PF,80.02,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
268,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
269,Dingle,PH,79.92,light rain,10.9995,122.6711,SEGAYA PROPERTY
270,Lorengau,PG,77.67,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
