City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,69.96,94,20,6.91,few clouds
1,Rikitea,PF,-23.1203,-134.9692,72.23,60,98,10.6,overcast clouds
2,Eyl,SO,7.9803,49.8164,83.23,67,61,24.07,broken clouds
3,Port Alfred,ZA,-33.5906,26.891,66.33,68,100,12.55,overcast clouds
4,Hermanus,ZA,-34.4187,19.2345,64.8,66,86,18.57,overcast clouds
5,Victoria,HK,22.2855,114.1577,87.33,81,91,5.01,overcast clouds
6,Necochea,AR,-38.5473,-58.7368,63.03,55,76,16.84,broken clouds
7,Olafsvik,IS,64.8945,-23.7142,46.11,82,41,9.82,scattered clouds
8,Puerto Ayora,EC,-0.7393,-90.3518,76.96,94,65,4.0,broken clouds
9,Mar Del Plata,AR,-38.0023,-57.5575,64.09,48,0,14.0,clear sky
10,Bluff,NZ,-46.6,168.3333,49.8,84,100,6.4,light rain
11,Cape Town,ZA,-33.9258,18.4232,63.09,67,20,4.0,few clouds
12,Tual,ID,-5.6667,132.75,81.55,78,50,22.86,scattered clouds
13,Mataura,NZ,-46.1927,168.8643,49.48,99,100,0.76,moderate rain
14,Busselton,AU,-33.65,115.3333,64.31,83,1,10.92,clear sky
15,Benidorm,ES,38.5382,-0.131,75.49,91,100,9.08,overcast clouds
16,Charlestown,AU,-32.95,151.6667,53.42,70,0,1.99,clear sky
17,Port Elizabeth,ZA,-33.918,25.5701,66.49,72,0,17.27,clear sky
18,Haines Junction,CA,60.7522,-137.5108,33.75,93,54,2.3,broken clouds
19,Dikson,RU,73.5069,80.5464,25.9,92,42,6.04,scattered clouds
20,Nikolskoye,RU,59.7035,30.7861,64.29,76,100,1.21,light rain
21,Adrar,MR,20.5022,-10.0711,104.05,11,1,2.28,clear sky
22,Bandarbeyla,SO,9.4942,50.8122,80.29,76,50,25.19,scattered clouds
23,Gat,IL,31.61,34.7642,90.39,34,0,11.61,clear sky
24,Kapaa,US,22.0752,-159.319,73.72,80,40,9.04,scattered clouds
25,Stornoway,GB,58.2093,-6.3865,58.93,76,40,5.75,scattered clouds
26,Hellin,ES,38.5106,-1.701,74.98,45,100,11.61,overcast clouds
27,Provideniya,RU,64.3833,-173.3,38.48,59,90,9.28,overcast clouds
28,Jamestown,US,42.097,-79.2353,63.72,70,20,1.99,few clouds
29,Ushuaia,AR,-54.8,-68.3,29.86,80,75,21.85,light snow
30,Palora,EC,-1.7,-77.9333,71.71,73,86,2.37,overcast clouds
31,Hithadhoo,MV,-0.6,73.0833,83.93,74,76,17.43,broken clouds
32,Atambua,ID,-9.1061,124.8925,71.87,77,27,8.97,scattered clouds
33,Fort Nelson,CA,58.8053,-122.7002,36.99,100,40,5.75,scattered clouds
34,Oranjemund,NA,-28.55,16.4333,61.32,64,43,11.34,scattered clouds
35,Pevek,RU,69.7008,170.3133,33.53,66,43,3.47,scattered clouds
36,Cidreira,BR,-30.1811,-50.2056,66.94,49,2,12.24,clear sky
37,Saint-Francois,FR,46.4154,3.9054,67.44,51,0,3.44,clear sky
38,Punta Arenas,CL,-53.15,-70.9167,33.82,80,0,12.06,clear sky
39,Yellowknife,CA,62.456,-114.3525,47.32,81,40,3.44,scattered clouds
40,Airai,TL,-8.9266,125.4092,56.37,87,52,4.88,broken clouds
41,Mahebourg,MU,-20.4081,57.7,77.29,78,40,8.05,scattered clouds
42,Leningradskiy,RU,69.3833,178.4167,24.15,92,33,6.24,scattered clouds
